jahr;nr;von;bis;name;wert
2020;999;20200101;20201231;anzahl;3
2020;999;20200101;20201231;risiko;high_risky
2020;1;20200101;20201231;aufteilung;0.5
2020;2;20200101;20201231;aufteilung;0.3
2020;3;20200101;20201231;aufteilung;0.2
2020;1;20200101;20201231;laufzeit;5
2020;2;20200101;20201231;laufzeit;10
2020;3;20200101;20201231;laufzeit;20
2021;999;20210101;20211231;anzahl;3
2021;999;20210101;20211231;risiko;high_risky
2021;1;20210101;20211231;aufteilung;0.5
2021;2;20210101;20211231;aufteilung;0.3
2021;3;20210101;20211231;aufteilung;0.2
2021;1;20210101;20211231;laufzeit;5
2021;2;20210101;20211231;laufzeit;10
2021;3;20210101;20211231;laufzeit;20
2022;999;20220101;20221231;anzahl;3
2022;999;20220101;20221231;risiko;high_risky
2022;1;20220101;20221231;aufteilung;0.5
2022;2;20220101;20221231;aufteilung;0.3
2022;3;20220101;20221231;aufteilung;0.2
2022;1;20220101;20221231;laufzeit;5
2022;2;20220101;20221231;laufzeit;10
2022;3;20220101;20221231;laufzeit;20
2023;999;20230101;20231231;anzahl;3
2023;999;20230101;20231231;risiko;high_risky
2023;1;20230101;20231231;aufteilung;0.5
2023;2;20230101;20231231;aufteilung;0.3
2023;3;20230101;20231231;aufteilung;0.2
2023;1;20230101;20231231;laufzeit;5
2023;2;20230101;20231231;laufzeit;10
2023;3;20230101;20231231;laufzeit;20
2024;999;20240101;20241231;anzahl;3
2024;999;20240101;20241231;risiko;high_risky
2024;1;20240101;20241231;aufteilung;0.5
2024;2;20240101;20241231;aufteilung;0.3
2024;3;20240101;20241231;aufteilung;0.2
2024;1;20240101;20241231;laufzeit;5
2024;2;20240101;20241231;laufzeit;10
2024;3;20240101;20241231;laufzeit;20
2025;999;20250101;20251231;anzahl;3
2025;999;20250101;20251231;risiko;high_risky
2025;1;20250101;20251231;aufteilung;0.5
2025;2;20250101;20251231;aufteilung;0.3
2025;3;20250101;20251231;aufteilung;0.2
2025;1;20250101;20251231;laufzeit;5
2025;2;20250101;20251231;laufzeit;10
2025;3;20250101;20251231;laufzeit;20
2026;999;20260101;20261231;anzahl;3
2026;999;20260101;20261231;risiko;high_risky
2026;1;20260101;20261231;aufteilung;0.5
2026;2;20260101;20261231;aufteilung;0.3
2026;3;20260101;20261231;aufteilung;0.2
2026;1;20260101;20261231;laufzeit;5
2026;2;20260101;20261231;laufzeit;10
2026;3;20260101;20261231;laufzeit;20
