vsnr;histnr;von;bis;name;wert
20230104123029317;1;20200701;20201231;antragsnummer;20230104123029276
20230104123029317;1;20200701;20201231;jahr;2020
20230104123029317;1;20200701;20201231;tkz;20200101767
20230104123029317;1;20200701;20201231;status;offen
20230104123029317;1;20200701;20201231;sra;N
20230104123029317;1;20200701;20201231;beginn;20200701
20230104123029317;1;20200701;20201231;anzahl;895.6385376775393
20230104123029317;1;20200701;20201231;laufzeit;5
20230104123029317;1;20200701;20201231;ende;20250631
20230104123029317;1;20200701;20201231;vertriebsnummer;007
20230104123029317;1;20200701;20201231;zw;12
20230104123029317;1;20200701;20201231;beitragsniveau;1.0
20230104123029317;1;20200701;20201231;provisionsniveau;1.0
20230104123029317;1;20200701;20201231;vsnr;20230104123029317
20230104123029317;1;20200701;20201231;histnr;1
20230104123029317;1;20200701;20201231;von;20200701
20230104123029317;1;20200701;20201231;bis;20250631
20230104123029317;1;20200701;20201231;gevo;Neuzugang
20230104123029317;1;20200701;20201231;bruttojahresbeitrag;1074766.2452130471
20230104123029317;1;20200701;20201231;bruttozahljahresbeitrag;1074766.2452130471
20230104123029317;1;20200701;20201231;beitragsrabatt;0.0
20230104123029317;1;20200701;20201231;versicherungssumme;21495324.90426094
20230104123029317;1;20200701;20201231;beitragssumme;5373831.226065235
20230104123029317;1;20200701;20201231;avbg; AV10
20230104123029317;1;20200701;20201231;rz; 0.009
20230104123029317;1;20200701;20201231;bil_gebuchter_beitrag;537383.1226065236
20230104123029317;1;20200701;20201231;bil_verdienter_beitrag_nw216;537383.1226065236
20230104123029317;1;20200701;20201231;bil_risikobeitrag_nw216;6985.980593884806
20230104123029317;1;20200701;20201231;bil_sparbeitrag_nw216;429906.4980852189
20230104123029317;1;20200701;20201231;bil_vkbeitrag_nw216;37616.81858245665
20230104123029317;1;20200701;20201231;bil_rz_nw217;3869.15848276697
20230104123029317;1;20200701;20201231;bil_derue1_ende;433775.65656798583
20230104123029317;1;20200701;20201231;bil_rueckkaufswert;347020.5252543887
20230104123029317;1;20200701;20201231;bil_derue2_ende;433775.65656798583
20230104123029317;1;20200701;20201231;bil_bio_nachreservierung_ende;43377.565656798586
20230104123029317;1;20200701;20201231;bil_derue3_ende;477153.22222478443
20230104123029317;1;20200701;20201231;bil_zzr_nachreservierung_ende;130132.69697039574
20230104123029317;1;20200701;20201231;bil_derue5_ende;607285.9191951802
20230104123029317;1;20200701;20201231;bil_unisex_nachreservierung_ende;0.0
20230104123029317;1;20200701;20201231;bil_derue7_ende;607285.9191951802
20230104123029767;1;20200701;20201231;antragsnummer;20230104123029311
20230104123029767;1;20200701;20201231;jahr;2020
20230104123029767;1;20200701;20201231;tkz;20200101709
20230104123029767;1;20200701;20201231;status;offen
20230104123029767;1;20200701;20201231;sra;N
20230104123029767;1;20200701;20201231;beginn;20200701
20230104123029767;1;20200701;20201231;anzahl;3415.01328667429
20230104123029767;1;20200701;20201231;laufzeit;10
20230104123029767;1;20200701;20201231;ende;20300631
20230104123029767;1;20200701;20201231;vertriebsnummer;007
20230104123029767;1;20200701;20201231;zw;12
20230104123029767;1;20200701;20201231;beitragsniveau;1.0
20230104123029767;1;20200701;20201231;provisionsniveau;1.0
20230104123029767;1;20200701;20201231;vsnr;20230104123029767
20230104123029767;1;20200701;20201231;histnr;1
20230104123029767;1;20200701;20201231;von;20200701
20230104123029767;1;20200701;20201231;bis;20300631
20230104123029767;1;20200701;20201231;gevo;Neuzugang
20230104123029767;1;20200701;20201231;bruttojahresbeitrag;2049007.972004574
20230104123029767;1;20200701;20201231;bruttozahljahresbeitrag;2049007.972004574
20230104123029767;1;20200701;20201231;beitragsrabatt;0.0
20230104123029767;1;20200701;20201231;versicherungssumme;40980159.44009148
20230104123029767;1;20200701;20201231;beitragssumme;20490079.72004574
20230104123029767;1;20200701;20201231;avbg; BG113
20230104123029767;1;20200701;20201231;rz; 0.009
20230104123029767;1;20200701;20201231;bil_gebuchter_beitrag;1024503.986002287
20230104123029767;1;20200701;20201231;bil_verdienter_beitrag_nw216;1024503.986002287
20230104123029767;1;20200701;20201231;bil_risikobeitrag_nw216;13318.551818029731
20230104123029767;1;20200701;20201231;bil_sparbeitrag_nw216;819603.1888018297
20230104123029767;1;20200701;20201231;bil_vkbeitrag_nw216;71715.2790201601
20230104123029767;1;20200701;20201231;bil_rz_nw217;7376.428699216467
20230104123029767;1;20200701;20201231;bil_derue1_ende;826979.6175010462
20230104123029767;1;20200701;20201231;bil_rueckkaufswert;661583.6940008369
20230104123029767;1;20200701;20201231;bil_derue2_ende;826979.6175010462
20230104123029767;1;20200701;20201231;bil_bio_nachreservierung_ende;82697.96175010462
20230104123029767;1;20200701;20201231;bil_derue3_ende;909677.5792511508
20230104123029767;1;20200701;20201231;bil_zzr_nachreservierung_ende;248093.88525031385
20230104123029767;1;20200701;20201231;bil_derue5_ende;1157771.4645014647
20230104123029767;1;20200701;20201231;bil_unisex_nachreservierung_ende;0.0
20230104123029767;1;20200701;20201231;bil_derue7_ende;1157771.4645014647
20230104123029767;1;20210101;20211231;antragsnummer;20230104123029311
